DATE,TIME,F/L (ft),LCL,CCL,LFC,TTI,KI,LI,SI,BI ,HI,DCI,SWEAT,CAPE,TS
03/06/2019,1630,"16,145",950,933,885,43.0 ,24.7 ,-7.3 ,1.1 ,95.8 ,25.3 ,44.6 ,-7.9 ,-,TS
04/06/2019,430,"16,790",972,943,895,38.4 ,27.9 ,-6.9 ,4.5 ,95.9 ,20.5 ,36.3 ,26.9 ,-,
11/08/2019,1630,"16,585",938,-,-,44.7 ,28.4 ,-5.5 ,-1.0 ,95.1 ,20.7 ,45.1 ,76.2 ,-,
12/08/2019,530,"16,134",996,970,970,41.8 ,30.3 ,-4.0 ,0.4 ,93.5 ,10.4 ,37.6 ,157.0 ,1358.9 ,
14/08/2019,530,"16,401",958,950,947,42.3 ,29.0 ,-4.3 ,0.3 ,98.5 ,14.2 ,41.0 ,208.8 ,-,
27/08/2019,1630,"17,892",943,938,936,38.5,34.4 ,-2.5 ,1.8 ,92.6 ,5.4 ,40.6 ,-81.5 ,,
28/08/2019,1730,"17,605",952,942,935,37.8 ,66.4 ,-2.4 ,2.6 ,93.9 ,12.5 ,4.6 ,48.1 ,1930.6 ,
04/09/2019,530,"16,952",982,920,850,41.1 ,35.2 ,-1.5 ,1.0 ,90.6 ,6.2 ,36.8 ,122.3 ,404.5 ,
05/09/2019,630,"16,675",982,940,965,40.7 ,33.8 ,-2.1 ,1.3 ,95.7 ,10.6 ,37.0 ,-3.7 ,-,TS
06/09/2019,430,"16,496",950,925,965,40.2 ,34.8 ,-1.5 ,1.3 ,96.0 ,9.6 ,39.6 ,-15.1 ,-,
09/09/2019,430,"17,902",974,965,957,40.2 ,34.8 ,-3.1 ,-0.2 ,96.0 ,9.6 ,38.8 ,-15.1 ,-,
11/09/2019,530,"18,041",988,950,920,40.4 ,32.4 ,-2.1 ,1.0 ,97.8 ,23.3 ,37.2 ,30.2 ,1211.0 ,
12/09/2019,330,"16,380",980,968,960,40.9 ,25.6 ,-4.5 ,0.9 ,93.5 ,27.7 ,38.4 ,-60.7 ,-,
16/09/2019,530,"16,272",1000,-,-,42.5 ,35.2 ,-4.3 ,0.3 ,95.2 ,6.7 ,38.1 ,-3.6 ,1747.1 ,
17/09/2019,530,"16,639",990,950,910,39.5 ,30.2 ,-1.7 ,1.7 ,93.8 ,15.3 ,34.1 ,46.8 ,-,
18/09/2019,530,"17,278",990,970,925,39.7 ,34.1 ,-2.2 ,3.5 ,94.9 ,10.4 ,36.2 ,-63.7 ,1207.9 ,
19/09/2019,430,"16,615",997,970,885,43.0 ,37.1 ,-2.2 ,-1.0 ,94.6 ,4.8 ,38.1 ,133.2 ,-,
23/09/2019,530,"16,630",990,983,970,40.7 ,26.8 ,-2.9 ,1.1 ,94.3 ,21.7 ,37.1 ,-22.1 ,-,
24/09/2019,1830,"16,985",993,860,535,44.2 ,11.7 ,-1.9 ,0.4 ,94.3 ,60.0 ,34.4 ,66.4 ,-,TS
25/09/2019,1730,"18,513",966,860,-,34.2 ,8.1 ,4.7 ,5.3 ,95.7 ,57.0 ,26.2 ,-49.3 ,0.6 ,
26/09/2019,1630,"17,600",940,783,-,34.0 ,-4.5 ,2.7 ,6.7 ,94.7 ,77.0 ,27.6 ,-143.3 ,17.1 ,TS
27/09/2019,1730,"17,205",978,872,538,40.4 ,1.9 ,-2.1 ,2.6 ,89.8 ,68.0 ,32.4 ,-35.9 ,231.0 ,
28/09/2019,1730,"16,800",973,855,485,37.6 ,3.1 ,0.3 ,4.2 ,93.3 ,73.0 ,30.8 ,-205.7 ,7.6 ,
01/10/2019,1730,"17,037",998,850,780,36.0 ,-2.1 ,-1.7 ,5.2 ,94.2 ,71.0 ,28.2 ,-271.2 ,447.8 ,
02/10/2019,1730,"16,816",960,756,-,40.0 ,13.7 ,0.7 ,3.9 ,94.5 ,58.0 ,30.9 ,-2.7 ,-,
03/10/2019,1730,"16,702",931,788,-,39.8 ,12.3 ,1.9 ,3.7 ,95.3 ,61.0 ,30.7 ,55.5 ,-,
04/10/2019,430,"16,054",975,890,752,49.0 ,37.4 ,-4.9 ,-2.9 ,97.2 ,13.1 ,42.3 ,303.5 ,-,TS
04/10/2019,1730,"16,255",990,851,772,38.0 ,6.0 ,0.0 ,4.2 ,94.9 ,68.0 ,30.8 ,-34.5 ,390.8 ,TS
07/10/2019,430,"15,905",975,921,860,37.2 ,45.1 ,-3.7 ,-1.2 ,96.0 ,13.5 ,40.0 ,46.5 ,-,TS
08/10/2019,1730,"17,680",955,792,410,33.0 ,14.5 ,3.9 ,7.3 ,96.0 ,57.0 ,25.6 ,-68.1 ,-,TS
09/10/2019,1630,"18,070",970,825,745,37.6 ,20.9 ,0.7 ,5.1 ,97.7 ,54.0 ,32.9 ,-166.6 ,1121.4 ,TS
10/10/2019,430,"15,390",990,895,795,46.0 ,35.3 ,-4.1 ,-1.2 ,96.7 ,13.5 ,38.8 ,123.5 ,-,
10/10/2019,1730,"17,920",990,874,790,32.8 ,11.9 ,-1.3 ,7.4 ,97.6 ,59.0 ,27.4 ,-265.6 ,1285.6 ,
11/10/2019,430,"15,950",993,918,790,43.4 ,34.2 ,-3.0 ,-0.1 ,95.7 ,18.9 ,36.6 ,194.9 ,1113.8 ,
11/10/2019,1830,"17,530",960,837,770,35.6 ,29.5 ,1.5 ,5.4 ,98.8 ,49.8 ,31.0 ,3.7 ,391.9 ,
12/10/2019,1730,"16,860",952,838,770,41.0 ,32.8 ,-0.4 ,2.2 ,99.8 ,43.7 ,36.5 ,-92.0 ,394.7 ,
15/10/2019,1730,"15,180",990,880,810,38.0 ,31.2 ,-1.8 ,4.0 ,99.0 ,47.9 ,33.1 ,72.9 ,542.8 ,TS
16/10/2019,1730,"15,270",886,773,-,39.8,29.2 ,2.4 ,3.2 ,97.8 ,40.9 ,34.9 ,-127.8 ,-,TS
17/10/2019,1730,"15,265",916,765,-,39.0 ,2.3 ,1.6 ,3.2 ,92.1 ,62.0 ,33.5 ,130.1 ,1.5 ,
18/10/2019,1730,"15,005",952,840,-,31.6 ,-6.5 ,1.6 ,8.4 ,92.6 ,73.0 ,22.4 ,-367.8 ,-,TS
19/10/2019,1730,"15,905",963,915,880,38.3 ,11.2 ,1.1 ,2.7 ,93.6 ,53.7 ,29.8 ,-107.3 ,38.4 ,TS
22/10/2019,1730,"16,940",938,780,-,38.8 ,23.0 ,3.4 ,2.6 ,95.9 ,42.0 ,32.6 ,105.3 ,-,TS
24/10/2019,1730,"17,233",955,800,-,39.2 ,13.1 ,1.3 ,3.7 ,95.7 ,60.0 ,32.0 ,-85.3 ,-,TS
25/10/2019,1730,"16,901",940,850,-,39.6 ,15.5 ,1.6 ,2.5 ,95.2 ,46.6 ,31.5 ,-75.3 ,-,
26/10/2019,1730,"16,260",955,769,-,30.8 ,9.1 ,4.2 ,8.5 ,93.8 ,62.0 ,24.1 ,-306.9 ,-,TS
29/10/2019,1730,"16,345",980,850,760,41.4 ,33.6 ,-2.6 ,2.3 ,98.7 ,30.7 ,35.9 ,75.0 ,1247.8 ,
30/10/2019,1730,"16,677",980,837,745,45.0 ,28.0 ,-3.6 ,0.0 ,97.7 ,37.0 ,38.9 ,121.4 ,1124.8 ,TS
31/10/2019,1730,"16,480",973,840,750,48.4 ,38.3 ,-5.9 ,-1.9 ,98.8 ,29.2 ,41.3 ,54.9 ,1905.1 ,TS
01/11/2019,1730,"14,290",968,830,760,43.6 ,29.7 ,-4.5 ,1.7 ,99.6 ,45.0 ,37.4 ,-14.2 ,1614.4 ,TS
02/11/2019,1730,"14,910",900,755,-,41.2 ,31.4 ,0.5 ,3.5 ,98.2 ,45.1 ,34.6 ,101.5 ,6.9 ,
05/11/2019,1730,"16,240",990,810,727,38.0 ,21.9 ,-8.0 ,5.2 ,95.4 ,54.0 ,30.3 ,-275.7 ,938.7 ,TS
16/11/2019,1530,"16,600",943,587,-,46.8 ,35.1 ,14.3 ,-2.2 ,94.8 ,17.4 ,24.3 ,242.8 ,-,TS
17/11/2019,530,"16,480",983,903,848,42.2 ,34.8 ,-5.2 ,2.2 ,102.0 ,19.9 ,38.1 ,-80.7 ,2693.5 ,
17/11/2019,1530,"17,110",882,826,760,44.0 ,30.1 ,-3.9 ,0.2 ,96.5 ,28.0 ,47.5 ,32.4 ,1745.3 ,
18/11/2019,430,"16,635",980,865,680,42.2 ,24.5 ,-2.7 ,2.0 ,95.6 ,35.0 ,35.5 ,-13.0 ,575.8 ,
19/11/2019,430,"16,370",966,870,742,43.7 ,31.8 ,-2.1 ,0.1 ,96.0 ,28.1 ,39.3 ,228.0 ,638.1 ,TS
21/11/2019,430,"16,100",978,890,775,40.0 ,25.9 ,-2.3 ,3.0 ,95.8 ,27.0 ,6.3 ,111.4 ,1586.1 ,
22/11/2019,430,"16,315",940,825,555,42.0 ,14.3 ,-0.6 ,1.7 ,95.9 ,44.0 ,36.3 ,11.3 ,5.7 ,
23/11/2019,530,"17,110",988,890,575,38.6 ,2.5 ,-1.7 ,3.6 ,93.8 ,58.0 ,31.7 ,62.3 ,518.5 ,
25/11/2019,430,"16,525",936,698,-,41.2 ,4.1 ,2.3 ,2.3 ,92.5 ,44.0 ,32.0 ,-128.1 ,-,
26/11/2019,430,"17,100",920,790,-,43.4 ,17.5 ,-0.2 ,-0.4 ,93.9 ,40.0 ,37.7 ,-54.2 ,-,
27/11/2019,430,"16,690",920,745,-,42.4 ,7.3 ,1.5 ,2.7 ,94.2 ,50.0 ,34.3 ,149.8 ,-,
28/11/2019,430,"15,910",910,740,-,38.8 ,18.3 ,3.8 ,3.1 ,95.7 ,51.0 ,35.2 ,-132.3 ,-,
29/11/2019,430,"16,850",957,862,775,43.4 ,33.1 ,-2.4 ,0.6 ,97.3 ,38.0 ,39.2 ,181.5 ,628.8 ,
30/11/2019,530,"16,930",940,810,-,38.8 ,28.9 ,1.3 ,3.6 ,97.9 ,46.0 ,35.1 ,-146.0 ,3.0 ,
01/12/2019,530,"16,330",930,810,-,41.2 ,26.9 ,1.7 ,2.4 ,96.7 ,23.0 ,34.6 ,-23.0 ,-,
02/12/2019,430,"16,010",924,818,726,41.8 ,34.3 ,-0.3 ,1.4 ,97.9 ,21.0 ,39.8 ,-12.0 ,-,
04/12/2019,430,"16,100",900,774,280,40.8 ,31.0 ,0.3 ,2.9 ,93.1 ,18.6 ,36.9 ,-18.9 ,6.5 ,
05/12/2019,430,"16,265",888,760,-,41.0 ,26.3 ,2.2 ,2.6 ,97.3 ,18.9 ,36.1 ,-119.4 ,-,
06/12/2019,530,"16,360",905,730,-,40.4 ,25.1 ,1.6 ,3.1 ,95.2 ,26.0 ,32.0 ,-166.4 ,-,
